"nft_address","first_time","first_time_hr","last_time","last_time_hr","diff","diff_hr","mean_trans_val","count_transfers","count_unique_trans","count_unique_owners","count_nfts","mint_min_val","mint_max_val","mint_mean_val","current_mean_val"
8.56925189304331e+47,1621061365,2021-05-15 02:49:25,1632549243,2021-09-25 01:54:03,11487878,132.961550925926,164075.630289496,4940,1900,2851,15000,0,2e+06,717041.333333333,615406.907652986
9.58237404572149e+47,1617235214,2021-03-31 20:00:14,1632586502,2021-09-25 12:15:02,15351288,177.676944444444,1102106.83896297,135015,19605,18429,98652,0,9223372.03685478,537488.57438933,1181890.37202809
9.64266658436049e+47,1617235411,2021-03-31 20:03:31,1632342423,2021-09-22 16:27:03,15107012,174.849675925926,19607.1090216289,230,38,86,405,1e+05,2e+06,293274.85380117,246536.589866547
9.75438537624301e+47,1627644145,2021-07-30 07:22:25,1632583152,2021-09-25 11:19:12,4939007,57.1644328703704,4474950.53366411,2146,1402,1433,1872,0,0,0,3818318.32771667
1.02021808543025e+48,1627773932,2021-07-31 19:25:32,1632586354,2021-09-25 12:12:34,4812422,55.6993287037037,977221.699562315,606,432,447,555,0,0,0,874897.903662023
1.05729288113309e+48,1617235591,2021-03-31 20:06:31,1632586540,2021-09-25 12:15:40,15350949,177.673020833333,516191.643538052,12299,2545,2669,10070,0,0,0,610703.006311887
1.09473051196497e+48,1626990745,2021-07-22 17:52:25,1632560458,2021-09-25 05:00:58,5569713,64.4642708333333,6518.25726141079,482,229,484,1067,30000,2530000,303505.060918463,285374.414245548
1.09698687699796e+48,1618456486,2021-04-14 23:14:46,1630084581,2021-08-27 13:16:21,11628095,134.58443287037,6437.81013513514,37,12,28,59,0,0,0,4037.27076271186
1.11548908571062e+48,1620157956,2021-05-04 15:52:36,1632582764,2021-09-25 11:12:44,12424808,143.805648148148,4862.04229158222,7401,966,38790,132087,0,9223372.03685478,2028544.23955231,2028674.43481541
1.11876599604152e+48,1619061433,2021-04-21 23:17:13,1632585512,2021-09-25 11:58:32,13524079,156.52869212963,602516.323790646,17172,5062,4562,17784,0,475000,26.6404935501963,369885.717785406
1.19104886757005e+48,1627692626,2021-07-30 20:50:26,1632582596,2021-09-25 11:09:56,4889970,56.596875,1729232.68546839,2719,1666,2535,5902,0,0,0,647089.04520111
1.29409761981077e+48,1625510694,2021-07-05 14:44:54,1630632565,2021-09-02 21:29:25,5121871,59.2809143518519,0,9,8,164,208,0,0,0,0
1.33070035531008e+48,1627704778,2021-07-31 00:12:58,1632554328,2021-09-25 03:18:48,4849550,56.1290509259259,42287.996518555,895,504,957,2188,0,0,0,14320.5083451482
1.36340139044012e+48,1623658910,2021-06-14 04:21:50,1632585365,2021-09-25 11:56:05,8926455,103.315451388889,2905.06329113924,158,98,170,664,0,10000,8569.27710843373,9125
1.36448249443864e+48,1627419265,2021-07-27 16:54:25,1632585365,2021-09-25 11:56:05,5166100,59.7928240740741,628690.703483697,11446,4325,2880,10000,0,1600000,808664,1013644.89184838
1.3866254884061e+48,1627185457,2021-07-24 23:57:37,1632175109,2021-09-20 17:58:29,4989652,57.7506018518519,24204.1666666667,30,29,29,62,0,0,0,11711.6935483871
1.40048166363607e+48,1627242172,2021-07-25 15:42:52,1632570201,2021-09-25 07:43:21,5328029,61.6670023148148,52237.4049340435,893,509,1165,3560,0,6e+05,298584.269662921,272877.191743287
1.43828595787092e+48,1617235752,2021-03-31 20:09:12,1632574065,2021-09-25 08:47:45,15338313,177.526770833333,300263.168562161,3922,1713,3314,8394,0,8e+06,170524.578130527,249308.04840745
